original_region,original_pdf,prior_cases_count,county,pdf_file
Clark,2021_03_20_ID_1463858.pdf,2,Clark,2021_03_20_ID_1463858.pdf
Clark,2021_03_20_ID_1481854.pdf,0,Clark,2021_03_20_ID_1481854.pdf
Clark,2021_04_05_ID_1457989.pdf,2,Clark,2021_04_05_ID_1457989.pdf
Clark,2021_04_06_ID_1471160.pdf,2,Clark,2021_04_06_ID_1471160.pdf
Clark,2021_04_07_ID_1482530_1.pdf,0,Clark,2021_04_07_ID_1482530_1.pdf
Clark,2021_04_09_ID_1431638.pdf,1,Clark,2021_04_09_ID_1431638.pdf
Clark,2021_04_10_ID_1376728.pdf,3,Clark,2021_04_10_ID_1376728.pdf
Clark,2021_04_12_ID_1482662.pdf,0,Clark,2021_04_12_ID_1482662.pdf
Clark,2021_04_12_ID_1482685.pdf,0,Clark,2021_04_12_ID_1482685.pdf
Clark,2021_04_13_ID_1482766.pdf,0,Clark,2021_04_13_ID_1482766.pdf
Clark,2021_04_28_21_ID_1418043.pdf,8,Clark,2021_04_28_21_ID_1418043.pdf
Clark,2021_05_11_ID_1471750.pdf,2,Clark,2021_05_11_ID_1471750.pdf
Clark,2021_05_20_ID_1449816.pdf,2,Clark,2021_05_20_ID_1449816.pdf
Clark,2021_05_29_ID_1484590.pdf,0,Clark,2021_05_29_ID_1484590.pdf
Clark,2021_05_29_ID_1484593.pdf,0,Clark,2021_05_29_ID_1484593.pdf
Clark,2021_05_31_ID_1484627.pdf,0,Clark,2021_05_31_ID_1484627.pdf
Clark,2021_05_31_ID_1484628.pdf,0,Clark,2021_05_31_ID_1484628.pdf
Clark,2021_06_04_ID_1484800.pdf,0,Clark,2021_06_04_ID_1484800.pdf
Clark,2021_06_08_ID_1484948.pdf,2,Clark,2021_06_08_ID_1484948.pdf
Clark,2021_06_10_ID_1455282.pdf,4,Clark,2021_06_10_ID_1455282.pdf
Clark,2021_06_14_ID_1479782.pdf,1,Clark,2021_06_14_ID_1479782.pdf
Clark,2021_06_14_ID_1485129.pdf,0,Clark,2021_06_14_ID_1485129.pdf
Clark,2021_06_23_ID_1362981.pdf,6,Clark,2021_06_23_ID_1362981.pdf
Clark,2021_06_28_ID_1485680.pdf,0,Clark,2021_06_28_ID_1485680.pdf
Clark,2021_07_13_ID_1376253.pdf,6,Clark,2021_07_13_ID_1376253.pdf
Clark,2021_07_15_ID_1486266.pdf,0,Clark,2021_07_15_ID_1486266.pdf
Clark,2021_07_20_ID_1486329_Child_1.pdf,1,Clark,2021_07_20_ID_1486329_Child_1.pdf
Clark,2021_07_20_ID_1486329_Child_2.pdf,1,Clark,2021_07_20_ID_1486329_Child_2.pdf
Clark,2021_07_28_ID_1307191.pdf,7,Clark,2021_07_28_ID_1307191.pdf
Clark,2021_08_02_ID_1486967.pdf,2,Clark,2021_08_02_ID_1486967.pdf
Clark,2021_08_03_ID_1436739.pdf,6,Clark,2021_08_03_ID_1436739.pdf
Clark,2021_08_04_ID_1486933.pdf,0,Clark,2021_08_04_ID_1486933.pdf
Clark,2021_08_07_ID_1487027.pdf,0,Clark,2021_08_07_ID_1487027.pdf
Clark,2021_08_10_ID_1419937.pdf,5,Clark,2021_08_10_ID_1419937.pdf
Clark,2021_08_11_ID_1487162(1).pdf,0,Clark,2021_08_11_ID_1487162(1).pdf
Clark,2021_08_13_ID_1487248.pdf,0,Clark,2021_08_13_ID_1487248.pdf
Clark,2021_08_19_ID_1487510.pdf,1,Clark,2021_08_19_ID_1487510.pdf
Clark,2021_08_20_ID_1485032.pdf,1,Clark,2021_08_20_ID_1485032.pdf
Clark,2021_08_26_ID_1487797.pdf,0,Clark,2021_08_26_ID_1487797.pdf
Clark,2021_09_08_ID_1471430_1_.pdf,1,Clark,2021_09_08_ID_1471430_1_.pdf
Clark,2021_09_10_ID_1488374.pdf,0,Clark,2021_09_10_ID_1488374.pdf
Clark,2021_09_12_ID_1468508_1_.pdf,4,Clark,2021_09_12_ID_1468508_1_.pdf
Clark,2021_09_14_ID_1425608.pdf,2,Clark,2021_09_14_ID_1425608.pdf
Clark,2021_09_23_ID_1488948.pdf,0,Clark,2021_09_23_ID_1488948.pdf
Clark,2021_10_01_ID_1489265.pdf,3,Clark,2021_10_01_ID_1489265.pdf
Clark,2021_10_03_ID_1489336.pdf,0,Clark,2021_10_03_ID_1489336.pdf
Clark,2021_10_11_ID_1384255.pdf,21,Clark,2021_10_11_ID_1384255.pdf
Clark,2021_10_15_ID_1452525.pdf,3,Clark,2021_10_15_ID_1452525.pdf
Clark,2021_10_17_ID_1489848.pdf,1,Clark,2021_10_17_ID_1489848.pdf
Clark,2021_10_27_ID_1490257.pdf,13,Clark,2021_10_27_ID_1490257.pdf
Clark,2021_10_29_ID_1366266.pdf,30,Clark,2021_10_29_ID_1366266.pdf
Clark,2021_11_08_ID_1395586.pdf,9,Clark,2021_11_08_ID_1395586.pdf
Clark,2021_11_08_ID_1456035.pdf,1,Clark,2021_11_08_ID_1456035.pdf
Clark,2021_11_10_ID_1489652.pdf,1,Clark,2021_11_10_ID_1489652.pdf
Clark,2021_11_19_ID_1440172.pdf,23,Clark,2021_11_19_ID_1440172.pdf
Clark,2021_12_08_ID_1491944.pdf,0,Clark,2021_12_08_ID_1491944.pdf
Clark,2021_12_09_ID_1492015.pdf,0,Clark,2021_12_09_ID_1492015.pdf
Clark,2021_12_11_ID_1483068.pdf,2,Clark,2021_12_11_ID_1483068.pdf
Clark,2021_12_14_ID_1478940.pdf,2,Clark,2021_12_14_ID_1478940.pdf
Clark,2021_12_17_ID_1492336.pdf,0,Clark,2021_12_17_ID_1492336.pdf
